#TAXONOMY,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_1,Bacteria,Firmicutes,Bacilli,Bacillales,Unassigned,Unassigned,Unassigned
ASV_2,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,Pseudarthrobacter,Unassigned
ASV_3,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Unassigned
ASV_4,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,Unassigned
ASV_5,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41,Unassigned
ASV_6,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Unassigned
ASV_7,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,japonica
ASV_8,Bacteria,Chloroflexi,KD4-96,Unassigned,Unassigned,Unassigned,Unassigned
ASV_9,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Piscinibacter,Unassigned
ASV_10,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Cupriavidus,Unassigned
ASV_11,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,parvus
ASV_12,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067,Unassigned
ASV_13,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,UTCFX1,Unassigned
ASV_14,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,Unassigned
ASV_15,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Geodermatophilaceae,Blastococcus,Unassigned
ASV_16,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,Unassigned
ASV_17,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067,Unassigned
ASV_18,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Unassigned,Unassigned
ASV_19,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,dokdonensis
ASV_20,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,MND1,Unassigned
