,pH,OM,AP,NO3,NH4,MO,MAT,MAP,pH.std,OM.std,AP.std,NO3.std,NH4.std,MO.std,MAT.std,MAP.std,meanFunction
ASV_1,4.92,212.4517504,42.505,203.7036895,84.17081423,98.58626477,24.19166623,1676,0.873889876,0.585818379,1,0.999926399,0.383520679,0.894336859,1,0.987625221,0.840639677
ASV_2,5.63,362.6580488,42.505,203.7186835,219.4687766,110.2339279,24.19166623,1697,1,1,1,1,1,1,1,1,1
ASV_3,5.53,362.6580488,42.225,144.5052296,139.8434528,109.0028521,24.19166623,1676,0.982238011,1,0.99341254,0.709337146,0.637190652,0.988832152,1,0.987625221,0.912329465
ASV_4,5.63,362.6580488,42.505,203.7186835,219.4687766,110.2339279,24.19166623,1697,1,1,1,1,1,1,1,1,1
ASV_5,5.6,268.0803784,42.505,203.7186835,219.4687766,110.2339279,24.19166623,1697,0.994671403,0.739209785,1,1,1,1,1,1,0.966735149
ASV_6,5.63,362.6580488,42.505,203.7186835,219.4687766,110.2339279,24.19166623,1697,1,1,1,1,1,1,1,1,1
ASV_7,5.49,362.6580488,42.505,203.7186835,219.4687766,110.2339279,24.19166623,1697,0.975133215,1,1,1,1,1,1,1,0.996891652
ASV_8,5.63,362.6580488,42.505,203.7186835,219.4687766,110.2339279,24.19166623,1697,1,1,1,1,1,1,1,1,1
ASV_9,5.63,362.6580488,42.505,203.7186835,219.4449632,110.2339279,24.19166623,1697,1,1,1,1,0.999891495,1,1,1,0.999986437
ASV_10,4.38,355.3224,15.8,78.85867866,44.01554618,105.0674534,17.07500067,1209,0.777975133,0.979772547,0.371720974,0.387095957,0.200554935,0.953131721,0.705821604,0.712433707,0.636063322
ASV_11,5.63,362.6580488,42.505,203.7186835,219.4449632,109.0028521,24.19166623,1697,1,1,1,1,0.999891495,0.988832152,1,1,0.998590456
ASV_12,5.49,362.6580488,42.505,203.7186835,219.4449632,109.9973056,24.19166623,1697,0.975133215,1,1,1,0.999891495,0.997853454,1,1,0.99660977
ASV_13,4.62,362.6580488,42.505,203.7186835,140.2494642,110.0464881,24.19166623,1697,0.820603908,1,1,1,0.639040625,0.998299618,1,1,0.932243019
ASV_14,4.99,362.6580488,42.505,203.7186835,140.2494642,108.9984071,21.67083417,1697,0.886323268,1,1,1,0.639040625,0.988791828,0.895797502,1,0.926244153
ASV_15,5.63,362.6580488,42.505,203.7186835,219.4687766,110.2339279,24.19166623,1697,1,1,1,1,1,1,1,1,1
ASV_16,5.63,362.6580488,40.705,203.7186835,140.2494642,110.2339279,24.19166623,1697,1,1,0.957652041,1,0.639040625,1,1,1,0.949586583
ASV_17,4.82,128.5851585,42.25,96.30765214,50.26574362,57.36554915,24.19166623,1665,0.856127886,0.35456309,0.994000706,0.472748255,0.229033689,0.520398304,1,0.981143194,0.676001891
ASV_18,5.49,362.6580488,42.505,203.7186835,219.4687766,110.2294829,24.19166623,1697,0.975133215,1,1,1,1,0.999959677,1,1,0.996886611
ASV_19,5.6,362.4098026,42.505,203.7186835,140.2494642,110.2339279,24.19166623,1697,0.994671403,0.999315481,1,1,0.639040625,1,1,1,0.954128439
ASV_20,5.25,361.8385967,39.35,176.515746,219.4687766,110.2339279,21.67083417,1697,0.93250444,0.997740428,0.925773438,0.866468126,1,1,0.895797502,1,0.952285492
ASV_21,5.63,362.6580488,42.505,176.446612,219.4687766,110.2339279,21.67083417,1697,1,1,1,0.866128766,1,1,0.895797502,1,0.970240784
ASV_22,5.27,362.6580488,42.505,203.7186835,140.2494642,110.2294829,21.67083417,1697,0.936056838,1,1,1,0.639040625,0.999959677,0.895797502,1,0.93385683
ASV_23,5.36,362.6580488,42.505,161.4303429,140.2494642,109.0028521,24.19166623,1697,0.952042629,1,1,0.792417957,0.639040625,0.988832152,1,1,0.92154167
ASV_24,5.53,362.6580488,42.505,161.4153489,219.0914954,110.1961792,24.19166623,1697,0.982238011,1,1,0.792344355,0.998280935,0.999657559,1,1,0.971565107
ASV_25,5.63,362.6580488,42.505,203.7186835,219.4687766,110.2339279,24.19166623,1697,1,1,1,1,1,1,1,1,1
ASV_26,5.6,362.6580488,42.505,203.7186835,219.4687766,110.1173127,24.19166623,1697,0.994671403,1,1,1,1,0.998942112,1,1,0.999201689
ASV_27,5.39,362.6580488,42.505,203.7036895,219.4449632,110.2339279,24.19166623,1697,0.957371226,1,1,0.999926399,0.999891495,1,1,1,0.99464864
ASV_28,5.6,234.4651635,42.505,176.515746,219.4687766,110.2339279,24.19166623,1697,0.994671403,0.646518571,1,0.866468126,1,1,1,1,0.938457263
ASV_29,5.49,234.7134097,42.275,203.7186835,219.4687766,110.2339279,24.19166623,1697,0.975133215,0.64720309,0.994588872,1,1,1,1,1,0.952115647
ASV_30,5.36,362.6580488,42.505,203.7186835,219.4449357,110.2339279,24.19166623,1697,0.952042629,1,1,1,0.99989137,1,1,1,0.99399175
ASV_31,5.63,362.6580488,42.505,203.7186835,219.4687766,110.2339279,24.19166623,1697,1,1,1,1,1,1,1,1,1
ASV_32,5.49,362.6580488,42.505,203.7186835,219.4687766,110.2339279,24.19166623,1697,0.975133215,1,1,1,1,1,1,1,0.996891652
