,pH,OM,AP,NO3,NH4,MO,MAT,MAP,pH.std,OM.std,AP.std,NO3.std,NH4.std,MO.std,MAT.std,MAP.std,meanFunction
ASV_1,6.05,285.7707106,237.4,157.9372412,111.2065712,133.249775,22.04999924,1697,0.966453674,0.75160283,1,0.908195276,0.999056939,0.577538606,1,1,0.900355916
ASV_2,6.26,380.2150541,237.4,173.9022932,111.3115448,230.7201176,22.04999924,1697,1,1,1,1,1,1,1,1,1
ASV_3,6.26,285.8235658,237.4,157.9372412,111.3115448,88.33212792,21.83333264,1697,1,0.751741844,1,0.908195276,1,0.382854035,0.99017385,1,0.879120626
ASV_4,6.05,379.9189914,237.4,173.9022932,100.8593064,230.7201176,22.04999924,1697,0.966453674,0.999221328,1,1,0.906099242,1,1,1,0.983971781
ASV_5,6.26,380.2150541,237.4,173.9022932,71.28085809,230.7201176,22.04999924,1697,1,1,1,1,0.640372553,1,1,1,0.955046569
ASV_6,6.26,380.2150541,237.4,173.9022932,111.3115448,230.7201176,22.04999924,1697,1,1,1,1,1,1,1,1,1
ASV_7,6.26,380.2150541,237.4,173.9022932,111.3115448,230.7201176,22.04999924,1697,1,1,1,1,1,1,1,1,1
ASV_8,6.05,285.8235658,237.4,173.9022932,111.3115448,230.7201176,22.04999924,1697,0.966453674,0.751741844,1,1,1,1,1,1,0.96477444
ASV_9,6.26,380.2150541,237.4,173.9022932,111.3115448,218.0867714,22.04999924,1697,1,1,1,1,1,0.945243846,1,1,0.993155481
ASV_10,4.18,185.1875953,9.608333333,26.7113574,29.33206183,121.3029728,15.5583334,1697,0.667731629,0.487060134,0.040473182,0.1535998,0.263513204,0.525758109,0.705593376,1,0.480466179
ASV_11,6.26,380.2150541,237.4,173.9022932,111.3115448,230.7201176,22.04999924,1697,1,1,1,1,1,1,1,1,1
ASV_12,6.26,380.2150541,237.05,173.9022932,73.3637385,230.7201176,22.04999924,1697,1,1,0.998525695,1,0.659084722,1,1,1,0.957201302
ASV_13,6.05,285.8235658,237.04,157.9372412,101.1101326,87.11009281,22.04999924,1697,0.966453674,0.751741844,0.998483572,0.908195276,0.908352613,0.377557422,1,1,0.86384805
ASV_14,6.05,285.8235658,237.4,173.9022932,111.3115448,122.1921236,22.04999924,1697,0.966453674,0.751741844,1,1,1,0.529611916,1,1,0.905975929
ASV_15,6.26,285.8235658,237.4,173.9022932,111.3115448,230.7201176,22.04999924,1697,1,0.751741844,1,1,1,1,1,1,0.96896773
