,pH,OM,AP,NO3,NH4,MO,MAT,MAP,pH.std,OM.std,AP.std,NO3.std,NH4.std,MO.std,MAT.std,MAP.std,meanFunction
ASV_1,6.6,509.1764733,59.69,105.5637774,424.0368998,243.2324841,24.40833282,1665,1,0.999583326,0.752964427,0.962822553,0.999593294,0.914877922,1,0.981143194,0.951373089
ASV_2,6.6,509.3887223,79.27333333,109.6399093,424.2094284,265.8633226,24.40833282,1697,1,1,1,1,1,1,1,1,1
ASV_3,6.6,319.7717185,59.69,109.6399093,423.6998497,240.4816514,24.15833274,1697,1,0.627755788,0.752964427,1,0.998798757,0.904531129,0.989757593,1,0.909225962
ASV_4,6.6,509.3887223,79.27333333,109.6399093,424.2094284,265.8633226,24.40833282,1697,1,1,1,1,1,1,1,1,1
ASV_5,6.46,458.175476,50.78333333,109.6399093,424.2094284,265.0591095,24.40833282,1697,0.978787879,0.899461366,0.640610546,1,1,0.996975088,1,1,0.93947936
ASV_6,6.6,440.730033,79.27333333,109.6399093,424.2094284,244.0366972,24.40833282,1697,1,0.865213566,1,1,1,0.917902834,1,1,0.97288955
ASV_7,6.19,509.3887223,59.69,109.6399093,424.2094284,265.8633226,24.40833282,1697,0.937878788,1,0.752964427,1,1,1,1,1,0.961355402
ASV_8,6.6,509.3887223,79.27333333,109.6399093,424.2094284,265.0591095,24.40833282,1697,1,1,1,1,1,0.996975088,1,1,0.999621886
ASV_9,6.41,509.3887223,79.27333333,109.6399093,303.3430765,265.8633226,24.40833282,1697,0.971212121,1,1,1,0.715078582,1,1,1,0.960786338
ASV_10,5.62,509.3887223,78.16666666,63.17964744,159.1598817,265.8633226,21.80833244,1570,0.851515152,1,0.986039862,0.576246805,0.375191759,1,0.893478985,0.925162051,0.825954327
ASV_11,6.46,458.175476,79.27333333,109.6399093,424.072273,265.0591095,24.40833282,1665,0.978787879,0.899461366,1,1,0.99967668,0.996975088,1,0.981143194,0.982005526
ASV_12,6.46,509.3887223,59.69,109.6399093,424.2094284,265.8633226,24.40833282,1697,0.978787879,1,0.752964427,1,1,1,1,1,0.966469038
ASV_13,6.42,457.1668583,38.75,109.6399093,424.072273,265.0591095,22.04999924,1697,0.972727273,0.897481311,0.48881507,1,0.99967668,0.996975088,0.903379981,1,0.907381925
ASV_14,6.6,458.175476,38.93,109.6399093,424.072273,265.0591095,24.40833282,1697,1,0.899461366,0.491085695,1,0.99967668,0.996975088,1,1,0.923399854
ASV_15,6.6,509.3887223,59.69,109.6399093,424.2094284,265.8633226,24.40833282,1697,1,1,0.752964427,1,1,1,1,1,0.969120553
