ASV,Name,Completeness,Contamination,16S_identity（%）,taxonomy,Coding_Density,Contig_N50,Average_Gene_Length,Genome_Size(bp),predicted_genome_size(Mb),GC_Content,Total_Coding_Sequences
ASV_22179,GCA_020061455.1,90.0 ,2.82,99.5 ,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__UBA6107;s__UBA6107_sp927443345_[location=1..935]_[ssu_len=935]_[contig_len=22480],0.896,168246,315.6856655,3093098,3.3 ,0.46,2930
ASV_5513,GCA_016713665.1,90.0 ,1.7,100.0 ,d__Bacteria;p__Myxococcota_A;c__UBA9160;o__UBA9160;f__UBA4427;g__JADJOR01;s__JADJOR01_sp016713665_[location=681553..683104]_[ssu_len=1552]_[contig_len=1118940],0.88,953504,339.4279255,6380020,7.0 ,0.7,5529
ASV_1876,GCA_004552135.1,90.0 ,6.49,100.0 ,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides_sp004554455_[location=2427..3940]_[ssu_len=1514]_[contig_len=4173],0.906,18531,327.3688363,2190512,2.3 ,0.55,2028
ASV_2093,GCA_013697045.1,90.0 ,1.57,99.7 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__JACCXJ01;f__JACCXJ01;g__JACCXJ01;s__JACCXJ01_sp013697045_[location=666..2212]_[ssu_len=1547]_[contig_len=6044],0.821,16626,252.2080739,4567668,5.0 ,0.64,4979
ASV_10955,GCA_016704895.1,90.1 ,2.44,100.0 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Casimicrobiaceae;g__VBCG01;s__VBCG01_sp016704895_[location=3338..4865]_[ssu_len=1528]_[contig_len=39511],0.865,98533,299.4640377,4175888,4.5 ,0.71,4032
ASV_30641,GCA_008933765.1,90.1 ,0.36,100.0 ,d__Bacteria;p__Bacteroidota;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__UTCHB3;s__UTCHB3_sp002050155_[location=3901..5456]_[ssu_len=1556]_[contig_len=5692],0.883,145938,380.0321962,3362436,3.7 ,0.42,2609
ASV_20033,GCF_007795095.1,90.2 ,0.28,100.0 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Luteimonas_D;s__Luteimonas_D_granuli_[location=2022981..2024521]_[ssu_len=1541]_[contig_len=2917404],0.91,2917404,333.7554552,2917404,3.2 ,0.71,2658
ASV_22484,GCF_002343915.1,90.2 ,2.81,99.7 ,d__Bacteria;p__Myxococcota;c__Polyangia;o__Nannocystales;f__Nannocystaceae;g__Nannocystis;s__Nannocystis_exedens_[location=2297838..2299363]_[ssu_len=1526]_[contig_len=11270726],0.852,11270726,360.9841136,12059053,13.0 ,0.72,9505
ASV_4119,GCF_013087525.1,90.3 ,2.42,100.0 ,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__Ramlibacter;s__Ramlibacter_sp013087525_[location=4338230..4339756]_[ssu_len=1527]_[contig_len=4459501],0.894,4459501,272.8596323,4753394,5.1 ,0.69,5222
ASV_19749,GCF_000162475.2,90.3 ,0.18,100.0 ,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Granulicatella;s__Granulicatella_elegans_A_[location=413608..415154]_[ssu_len=1547]_[contig_len=1743361],0.871,1743361,321.4806595,1743361,1.9 ,0.33,1577
